grafana  | Grafana server is running with elevated privileges. This is not recommended
grafana  | logger=migrator t=2025-01-06T19:38:07.094043992Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v1-7"
grafana  | logger=migrator t=2025-01-06T19:38:07.094708246Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v1-7" duration=667.104µs
grafana  | logger=migrator t=2025-01-06T19:38:07.097052382Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v1-7"
grafana  | logger=migrator t=2025-01-06T19:38:07.097598843Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v1-7" duration=545.938µs
grafana  | logger=migrator t=2025-01-06T19:38:07.100256431Z level=info msg="Executing migration" id="Update temp_user table charset"
grafana  | logger=migrator t=2025-01-06T19:38:07.100332309Z level=info msg="Migration successfully executed" id="Update temp_user table charset" duration=75.103µs
grafana  | logger=migrator t=2025-01-06T19:38:07.102486196Z level=info msg="Executing migration" id="drop index IDX_temp_user_email - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.102848898Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_email - v1" duration=362.477µs
grafana  | logger=migrator t=2025-01-06T19:38:07.10460414Z level=info msg="Executing migration" id="drop index IDX_temp_user_org_id - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.105109808Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_org_id - v1" duration=505.21µs
grafana  | logger=migrator t=2025-01-06T19:38:07.107281616Z level=info msg="Executing migration" id="drop index IDX_temp_user_code - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.107726261Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_code - v1" duration=444.657µs
grafana  | logger=migrator t=2025-01-06T19:38:07.109694347Z level=info msg="Executing migration" id="drop index IDX_temp_user_status - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.110079892Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_status - v1" duration=396.085µs
grafana  | logger=migrator t=2025-01-06T19:38:07.112005496Z level=info msg="Executing migration" id="Rename table temp_user to temp_user_tmp_qwerty - v1"
grafana  | logger=migrator t=2025-01-06T19:38:07.11337691Z level=info msg="Migration successfully executed" id="Rename table temp_user to temp_user_tmp_qwerty - v1" duration=1.37095ms
